领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码 (FBS),科目,年份代码,年份,单位,值,标识,标识描述,说明
"FBS","食品收支表 (2010-)","048","巴 林","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","23.39","E","Estimated value",""
"FBS","食品收支表 (2010-)","048","巴 林","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.88","E","Estimated value",""
"FBS","食品收支表 (2010-)","048","巴 林","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","46.73","E","Estimated value",""
"FBS","食品收支表 (2010-)","048","巴 林","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","586","巴基斯坦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","10.07","E","Estimated value",""
"FBS","食品收支表 (2010-)","586","巴基斯坦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","2.49","E","Estimated value",""
"FBS","食品收支表 (2010-)","586","巴基斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","8.4","E","Estimated value",""
"FBS","食品收支表 (2010-)","586","巴基斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","144","斯里兰卡","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","1.27","E","Estimated value",""
"FBS","食品收支表 (2010-)","144","斯里兰卡","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.14","E","Estimated value",""
"FBS","食品收支表 (2010-)","144","斯里兰卡","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.07","E","Estimated value",""
"FBS","食品收支表 (2010-)","144","斯里兰卡","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","10.43","E","Estimated value",""
"FBS","食品收支表 (2010-)","144","斯里兰卡","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.25","E","Estimated value",""
"FBS","食品收支表 (2010-)","392","日 本","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","9.48","E","Estimated value",""
"FBS","食品收支表 (2010-)","392","日 本","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.15","E","Estimated value",""
"FBS","食品收支表 (2010-)","392","日 本","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","22.77","E","Estimated value",""
"FBS","食品收支表 (2010-)","392","日 本","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","27.9","E","Estimated value",""
"FBS","食品收支表 (2010-)","392","日 本","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","2.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","116","柬埔寨","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","4.39","E","Estimated value",""
"FBS","食品收支表 (2010-)","116","柬埔寨","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","116","柬埔寨","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","6.18","E","Estimated value",""
"FBS","食品收支表 (2010-)","116","柬埔寨","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","1.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","116","柬埔寨","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.81","E","Estimated value",""
"FBS","食品收支表 (2010-)","268","格鲁吉亚","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","7.28","E","Estimated value",""
"FBS","食品收支表 (2010-)","268","格鲁吉亚","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","1.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","268","格鲁吉亚","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","12.3","E","Estimated value",""
"FBS","食品收支表 (2010-)","268","格鲁吉亚","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","19.19","E","Estimated value",""
"FBS","食品收支表 (2010-)","268","格鲁吉亚","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","3.16","E","Estimated value",""
"FBS","食品收支表 (2010-)","682","沙特阿拉伯","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","5.89","E","Estimated value",""
"FBS","食品收支表 (2010-)","682","沙特阿拉伯","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","5.05","E","Estimated value",""
"FBS","食品收支表 (2010-)","682","沙特阿拉伯","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","45.57","E","Estimated value",""
"FBS","食品收支表 (2010-)","682","沙特阿拉伯","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.64","E","Estimated value",""
"FBS","食品收支表 (2010-)","764","泰 国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","1.62","E","Estimated value",""
"FBS","食品收支表 (2010-)","764","泰 国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.04","E","Estimated value",""
"FBS","食品收支表 (2010-)","764","泰 国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","13.03","E","Estimated value",""
"FBS","食品收支表 (2010-)","764","泰 国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","11.16","E","Estimated value",""
"FBS","食品收支表 (2010-)","764","泰 国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","2.16","E","Estimated value",""
