领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),792,土耳其,5510,Production,1221,西瓜,2022,2022,t,3394783,A,Officialfigure,
SCL,供应利用账目(2010-),792,土耳其,5610,进口数量,1221,西瓜,2022,2022,t,55433,A,Officialfigure,
SCL,供应利用账目(2010-),792,土耳其,5910,出口数量,1221,西瓜,2022,2022,t,145369.46,A,Officialfigure,
SCL,供应利用账目(2010-),792,土耳其,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,1472944.26,E,Estimatedvalue,
SCL,供应利用账目(2010-),792,土耳其,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,9.67,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),792,土耳其,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,47.29,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),762,塔吉克斯坦,5510,Production,1221,西瓜,2022,2022,t,806611.41,I,Imputedvalue,
SCL,供应利用账目(2010-),762,塔吉克斯坦,5610,进口数量,1221,西瓜,2022,2022,t,5399.16,A,Officialfigure,
SCL,供应利用账目(2010-),762,塔吉克斯坦,5910,出口数量,1221,西瓜,2022,2022,t,575.59,A,Officialfigure,
SCL,供应利用账目(2010-),762,塔吉克斯坦,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,522927.47,E,Estimatedvalue,
SCL,供应利用账目(2010-),762,塔吉克斯坦,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,29.45,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),762,塔吉克斯坦,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,143.95,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),196,塞浦路斯,5510,Production,1221,西瓜,2022,2022,t,12380,A,Officialfigure,
SCL,供应利用账目(2010-),196,塞浦路斯,5610,进口数量,1221,西瓜,2022,2022,t,361.65,I,Imputedvalue,
SCL,供应利用账目(2010-),196,塞浦路斯,5910,出口数量,1221,西瓜,2022,2022,t,12.45,A,Officialfigure,
SCL,供应利用账目(2010-),196,塞浦路斯,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,10122.72,E,Estimatedvalue,
SCL,供应利用账目(2010-),196,塞浦路斯,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,4.53,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),196,塞浦路斯,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,22.16,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),410,韩国,5510,Production,1221,西瓜,2022,2022,t,476897.99,I,Imputedvalue,
